SD SD SD WD WD WD WD AA WD WD WD WD SD SD SD
SD AA AA AA AA AA AA CBF AA AA AA AA AA AA SD
SD AA AA AA AA AA AA AA AA SFB AA AA AA AA SD
WD AA AA AA AA AA AA AA AA AA AA AA AA FN WD
WD AA AA AA AA AA AA AA AA AA AA AA AA AA WD
WD AA STB AA AA AA AA AA AA AA AA AA AA AA WD
WD AA AA AA AA AA STB AA AA AA AA AA AA AA WD
AA AA AA AA AA AA AA AA AA AA AA AA AA BF AA
WD AA AA AA AA AA AA CBF AA AA AA AA AA AA WD
WD AA AA AA AA AA AA AA AA AA AA AA AA AA WD
WD AA AA STB AA AA AA AA AA AA AA AA AA AA WD
SD AA AA AA AA AA AA AA AA AA AA AA AA AA SD
SD AA AA STB AA AA AA AA AA AA AA STB CBF FN SD
SD AA AA AA AA AA AA AA AA AA AA AA AA AA SD
SD SD SD SD SD SD SD AA SD SD SD SD SD SD SD
